referencia,nombre,familia,unidad,precio_tarifa,iva,atributos
8000039395,climaVAIR plus multi VAIP1-060W205,otros,ud,3106.00,21,{}
8000039396,climaVAIR plus multi VAIP1-070W205,otros,ud,3132.00,21,{}
8000010702,climaVAIR pro VAIB1-020WNI,otros,ud,401.00,21,{}
8000010695,climaVAIR pro VAIB1-025WNI,otros,ud,413.00,21,{}
8000010690,climaVAIR pro VAIB1-035WNI,otros,ud,432.00,21,{}
8000010703,climaVAIR pro VAIB1-050WNI,otros,ud,651.00,21,{}
8000010708,climaVAIR pro VAIB1-065WNI,otros,ud,800.00,21,{}
8000010678,climaVAIR plus VAIP1-020WNI,otros,ud,628.00,21,{}
8000010685,climaVAIR plus VAIP1-025WNI,otros,ud,649.00,21,{}
8000010686,climaVAIR plus VAIP1-035WNI,otros,ud,675.00,21,{}
8000010687,climaVAIR plus VAIP1-050WNI,otros,ud,925.00,21,{}
8000010679,climaVAIR plus VAIP1-065WNI,otros,ud,1081.00,21,{}
8000010715,climaVAIR multi VAM1-035 DNI,otros,ud,878.00,21,{}
8000010717,climaVAIR multi VAM1-050A2NO,otros,ud,1782.00,21,{}
8000010719,climaVAIR multi VAM1-080A4NO,otros,ud,2440.00,21,{}
8000010712,climaVAIR multi VAM1-120A5NO,otros,ud,4637.00,21,{}
0010026769,VAI1-050 DN -,otros,ud,2105.00,21,{}
0010026770,VAI1-070 DN -,otros,ud,2585.00,21,{}
0010026771,VAI1-085 DN -,otros,ud,3275.00,21,{}
0010026772,VAI1-100 DN -,otros,ud,3980.00,21,{}
0010030969,Control individual cableado VAI1KD-CR -,otros,ud,70.00,21,"{""control"": ""cableado""}"
0010030968,Contacto on-off VAI1KD-S4 -,otros,ud,35.00,21,{}
0010032019,Caja de conexiones VAIKD-EB para montaje en superficie del control cableado VAI1KD-CR -,otros,ud,15.00,21,"{""control"": ""cableado""}"
8000036452,climaVAIR pro VAIB1-050DNi,otros,ud,2388.00,21,{}
8000036455,climaVAIR pro VAIB1-070DNi,otros,ud,2812.00,21,{}
8000036459,climaVAIR pro VAIB1-085DNi,otros,ud,3387.00,21,{}
8000036464,climaVAIR pro VAIB1-100DNi,otros,ud,4017.00,21,{}
8000036468,climaVAIR pro VAIB1-140DNi,otros,ud,4744.00,21,{}
8000029901,Contacto on-off VCA 100/1 S4,otros,ud,65.00,21,{}
8000029890,MODBUS Control VCA 100/1 R,otros,ud,54.00,21,{}
8000040540,Conducto climaVAIR pro 050 + aroSTOR 150,termo,ud,5148.00,21,{}
8000040561,Conducto climaVAIR pro 050 + aroSTOR 200,termo,ud,5688.00,21,{}
8000040562,Conducto climaVAIR pro 070 + aroSTOR 150,termo,ud,5572.00,21,{}
8000040564,Conducto climaVAIR pro 070 + aroSTOR 200,termo,ud,6112.00,21,{}
8000040565,Conducto climaVAIR pro 085 + aroSTOR 150,termo,ud,6147.00,21,{}
8000040567,Conducto climaVAIR pro 085 + aroSTOR 200,termo,ud,6687.00,21,{}
8000040568,Conducto climaVAIR pro 100 + aroSTOR 150,termo,ud,6777.00,21,{}
8000040569,Conducto climaVAIR pro 100 + aroSTOR 200,termo,ud,7317.00,21,{}
