referencia,nombre,familia,unidad,precio_tarifa,iva,atributos
8000051745,Pack GeniaSet Iso ES 4 MiPro Sense inalámbrico 2C,otros,ud,15545.00,21,"{""control"": ""inalambrico""}"
8000051816,Pack GeniaSet Iso ES 4 MiPro Sense cableado 2C,otros,ud,15445.00,21,"{""control"": ""cableado""}"
8000051817,Pack GeniaSet Iso ES 6 MiPro Sense inalámbrico 2C,otros,ud,16285.00,21,"{""control"": ""inalambrico""}"
8000051819,Pack GeniaSet Iso ES 6 MiPro Sense cableado 2C NOVEDAD A PARTIR DE,otros,ud,16185.00,21,"{""control"": ""cableado""}"
8000051821,Pack GeniaSet Iso ES 8 MiPro Sense inalámbrico 2C NOVEDAD JULIO,otros,ud,16950.00,21,"{""control"": ""inalambrico""}"
8000051822,Pack GeniaSet Iso ES 8 MiPro Sense cableado 2C,otros,ud,16850.00,21,"{""control"": ""cableado""}"
8000051824,Pack GeniaSet Iso ES 12 230V MiPro Sense inalámbrico 2C,otros,ud,20285.00,21,"{""control"": ""inalambrico""}"
8000051826,Pack GeniaSet Iso ES 12 230V MiPro Sense cableado 2C,otros,ud,20185.00,21,"{""control"": ""cableado""}"
8000051828,Pack GeniaSet Iso ES 12 400V MiPro Sense inalámbrico 2C,otros,ud,21145.00,21,"{""trifasica"": true, ""control"": ""inalambrico""}"
8000051829,Pack GeniaSet Iso ES 12 400V MiPro Sense cableado 2C,otros,ud,21045.00,21,"{""trifasica"": true, ""control"": ""cableado""}"
8000051830,Pack GeniaSet Iso ES 15 230V MiPro Sense inalámbrico 2C,otros,ud,21005.00,21,"{""control"": ""inalambrico""}"
8000051831,Pack GeniaSet Iso ES 15 230V MiPro Sense cableado 2C,otros,ud,20905.00,21,"{""control"": ""cableado""}"
8000051833,Pack GeniaSet Iso ES 15 400V MiPro Sense inalámbrico 2C,otros,ud,21895.00,21,"{""trifasica"": true, ""control"": ""inalambrico""}"
8000051835,Pack GeniaSet Iso ES 15 400V MiPro Sense cableado 2C,otros,ud,21795.00,21,"{""trifasica"": true, ""control"": ""cableado""}"
8000051836,Pack GeniaSet Iso ES 4 inoxidable MiPro Sense inalámbrico 1C,otros,ud,14740.00,21,"{""control"": ""inalambrico""}"
8000051838,Pack GeniaSet Iso ES 4 inoxidable MiPro Sense cableado 1C,otros,ud,14640.00,21,"{""control"": ""cableado""}"
8000051839,Pack GeniaSet Iso ES 6 inoxidable MiPro Sense inalámbrico 1C,otros,ud,15480.00,21,"{""control"": ""inalambrico""}"
8000051840,Pack GeniaSet Iso ES 6 inoxidable MiPro Sense cableado 1C,otros,ud,15380.00,21,"{""control"": ""cableado""}"
8000051851,Pack GeniaSet Iso ES 8 inoxidable MiPro Sense inalámbrico 1C,otros,ud,16145.00,21,"{""control"": ""inalambrico""}"
8000051853,Pack GeniaSet Iso ES 8 inoxidable MiPro Sense cableado 1C,otros,ud,16045.00,21,"{""control"": ""cableado""}"
8000051854,Pack GeniaSet Iso ES 12 230V inoxidable MiPro Sense inalámbrico 1C,otros,ud,19480.00,21,"{""control"": ""inalambrico""}"
8000051855,Pack GeniaSet Iso ES 12 230V inoxidable MiPro Sense cableado 1C,otros,ud,19380.00,21,"{""control"": ""cableado""}"
8000051856,Pack GeniaSet Iso ES 12 400V inoxidable MiPro Sense inalámbrico 1C,otros,ud,20340.00,21,"{""trifasica"": true, ""control"": ""inalambrico""}"
8000051857,Pack GeniaSet Iso ES 12 400V inoxidable MiPro Sense cableado 1C,otros,ud,20240.00,21,"{""trifasica"": true, ""control"": ""cableado""}"
8000051858,Pack GeniaSet Iso ES 15 230V inoxidable MiPro Sense inalámbrico 1C,otros,ud,20200.00,21,"{""control"": ""inalambrico""}"
8000051859,Pack GeniaSet Iso ES 15 230V inoxidable MiPro Sense cableado 1C,otros,ud,20100.00,21,"{""control"": ""cableado""}"
